corner_id,brake_start_m,brake_end_m,apex_m,exit_end_m,entry_speed_kph,min_speed_kph,exit_speed_kph,segment_time_s
1,771.0552524883702,900.0552524883702,942.0552524883702,1020.0552524883702,341.0675649774727,74.0,160.63389659214934,7.180517406130244
2,1996.0552524883703,2107.05525248837,2116.05525248837,2227.05525248837,316.28927155482216,109.00624763609139,187.35916832033905,5.375064201322218
3,2439.05525248837,2500.05525248837,2524.05525248837,2620.05525248837,260.7761175575702,199.07356891936337,231.72920817994628,3.009705745763128
4,2765.05525248837,2830.05525248837,2836.05525248837,2950.05525248837,264.8705771957961,184.02154400480458,233.71711670765123,3.198209255443132
5,3805.05525248837,3890.05525248837,3924.05525248837,4010.05525248837,335.0,193.00774685381234,226.56790086104164,3.274365355990682
6,5019.055252488371,5127.055252488371,5150.055252488371,5247.055252488371,322.0751644272304,215.04450500001516,237.73998529681208,3.4393567566118293
