corner_id,brake_start_m,apex_m,exit_end_m,delta_at_brake_start_s,delta_at_apex_s,delta_at_exit_s,loss_braking_s,loss_exit_s,loss_total_s
1,771.0552524883702,942.0552524883702,1020.0552524883702,-0.008115878402208287,-0.05181308488188596,0.017197549232315645,-0.043697206479677675,0.06901063411420161,0.025313427634523933
2,1996.0552524883703,2116.05525248837,2227.05525248837,-0.0012108105565576954,0.20964853265845174,0.05137301510840653,0.21085934321500943,-0.1582755175500452,0.05258382566496422
3,2439.05525248837,2524.05525248837,2620.05525248837,-0.018535547047104806,0.015174072725624321,0.019637169578696878,0.03370961977272913,0.004463096853072557,0.038172716625801684
4,2765.05525248837,2836.05525248837,2950.05525248837,0.02078996248449594,0.03190900194766366,0.05865162507570043,0.011119039463167724,0.02674262312803677,0.03786166259120449
5,3805.05525248837,3924.05525248837,4010.05525248837,0.026891083659680626,0.10308341673130494,0.09459495188716327,0.07619233307162432,-0.008488464844141674,0.06770386822748264
6,5019.055252488371,5150.055252488371,5247.055252488371,0.10752909687575463,0.16837340063796413,0.1676388999345907,0.060844303762209506,-0.0007345007033734419,0.060109803058836064
